Id,IsDeleted,CaseNumber,ContactId,AccountId,AssetId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,Subject,Priority,Description,IsClosed,ClosedDate,IsEscalated,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,ContactPhone,ContactMobile,ContactEmail,ContactFax,LastViewedDate,LastReferencedDate,Employee_ID__c,Member_ID__c,Passport_ID__c,SSN__c
5001g000009TXjlAAG,,00015965,0031g00000iE9XLAA0,0011g00000nAbvJAAS,,,,,,,Other,Closed,Other,Email,Can't find information,Medium,I need some general assistance related to our account.,1,2013-02-10T18:26:56.000+0000,,0051g000004BvFfAAK,2013-01-27T18:26:56.000+0000,0051g000004BvFfAAK,2013-02-10T18:26:56.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 205-5056,(555) 844-8153,alba.fiske@example.com,,,,000528892884,000426857278,000915062050,000-39-7942
5001g000009TXjmAAG,,00015966,0031g00000iE9XMAA0,0011g00000nAbvJAAS,,,,,,,Claim,Closed,Claim,Phone,Status of claim,Medium,I have claims question related to my account.,1,2017-12-19T15:31:14.000+0000,,0051g000004BvFfAAK,2017-12-05T15:31:14.000+0000,0051g000004BvFfAAK,2017-12-19T15:31:14.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 858-9785,(555) 642-1352,enola.shellhammer@example.com,,,,000741562278,000289252628,000600353201,000-89-9825
5001g000009TXjnAAG,,00015967,0031g00000iE9XNAA0,0011g00000nAbvJAAS,,,,,,,Claim,Closed,Claim,Phone,Question about my claim,Medium,I have claims question related to my account.,1,2020-04-15T18:50:51.000+0000,,0051g000004BvFfAAK,2020-04-12T18:50:51.000+0000,0051g000004BvFfAAK,2020-04-15T18:50:51.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 776-3264,(555) 980-1273,keven.stalworth@example.com,,,,000744800923,000444774273,000435817269,000-93-2091
5001g000009TXjoAAG,,00015968,0031g00000iE9XOAA0,0011g00000nAbvKAAS,,,,,,,Support,Closed,Support,Web,Warning message problem,Medium,I have a service question and would like some assistance.,1,2009-12-06T22:39:06.000+0000,,0051g000004BvFfAAK,2009-12-04T22:39:06.000+0000,0051g000004BvFfAAK,2009-12-06T22:39:06.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 617-7120,(555) 885-8464,vicente.corchado@example.com,,,,000178085599,000745602379,000768933646,000-25-7978
5001g000009TXjpAAG,,00015969,0031g00000iE9XOAA0,0011g00000nAbvKAAS,,,,,,,Enrollment,Closed,Enrollment,Email,Question about enrollment process,Medium,I have an enrollment question related to my account.,1,2017-07-08T20:19:45.000+0000,,0051g000004BvFfAAK,2017-07-06T20:19:45.000+0000,0051g000004BvFfAAK,2017-07-08T20:19:45.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 617-7120,(555) 885-8464,vicente.corchado@example.com,,,,000178085599,000745602379,000768933646,000-25-7978
5001g000009TXjqAAG,,00015970,0031g00000iE9XOAA0,0011g00000nAbvKAAS,,,,,,,Support,Closed,Support,Phone,Warning message problem,Medium,I have a service question and would like some assistance.,1,2019-07-28T01:25:51.000+0000,,0051g000004BvFfAAK,2019-07-18T01:25:51.000+0000,0051g000004BvFfAAK,2019-07-28T01:25:51.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 617-7120,(555) 885-8464,vicente.corchado@example.com,,,,000178085599,000745602379,000768933646,000-25-7978
5001g000009TXjrAAG,,00015971,0031g00000iE9XPAA0,0011g00000nAbvKAAS,,,,,,,Support,Closed,Support,Phone,Setup question,Medium,I have a service question and would like some assistance.,1,2016-07-27T19:58:32.000+0000,,0051g000004BvFfAAK,2016-06-29T19:58:32.000+0000,0051g000004BvFfAAK,2016-07-27T19:58:32.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 326-7709,(555) 950-1962,dixie.romanello@example.com,,,,000974088153,000470105187,000754278592,000-35-8933
5001g000009TXoaAAG,,00016264,0031g00000iE9YxAAK,0011g00000nAbvgAAC,,,,,,,Claim,Closed,Claim,Web,Status of claim,Low,I have claims question related to my account.,1,2019-08-05T01:59:18.000+0000,,0051g000004BvFfAAK,2019-07-06T01:59:18.000+0000,0051g000004BvFfAAK,2019-08-05T01:59:18.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 564-9159,(555) 407-4860,ardell.beja@example.com,,,,000772244084,000642796455,000922059751,000-78-6734
5001g000009TXobAAG,,00016265,0031g00000iE9YxAAK,0011g00000nAbvgAAC,,,,,,,Billing,Closed,Billing,Email,Need help with my invoice,Low,I have a billing question related to my account.,1,2017-09-23T17:50:06.000+0000,,0051g000004BvFfAAK,2017-09-14T17:50:06.000+0000,0051g000004BvFfAAK,2017-09-23T17:50:06.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 564-9159,(555) 407-4860,ardell.beja@example.com,,,,000772244084,000642796455,000922059751,000-78-6734
5001g000009TXocAAG,,00016266,0031g00000iE9YyAAK,0011g00000nAbvgAAC,,,,,,,Enrollment,Closed,Enrollment,Email,Enrollment dates,Low,I have an enrollment question related to my account.,1,2019-02-05T18:33:39.000+0000,,0051g000004BvFfAAK,2019-01-18T18:33:39.000+0000,0051g000004BvFfAAK,2019-02-05T18:33:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 996-8889,(555) 488-5735,herminia.davaz@example.com,,,,000813641580,000306977669,000243028904,000-21-9046
5001g000009TXodAAG,,00016267,0031g00000iE9YyAAK,0011g00000nAbvgAAC,,,,,,,Billing,Closed,Billing,Phone,Subscription question,Medium,I have a billing question related to my account.,1,2010-01-07T00:10:13.000+0000,,0051g000004BvFfAAK,2010-01-01T00:10:13.000+0000,0051g000004BvFfAAK,2010-01-07T00:10:13.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 996-8889,(555) 488-5735,herminia.davaz@example.com,,,,000813641580,000306977669,000243028904,000-21-9046
5001g000009TXoeAAG,,00016268,0031g00000iE9YzAAK,0011g00000nAbvhAAC,,,,,,,Cancellation,Closed,Cancellation,Phone,Please cancel my service,Low,I need to cancel our account.,1,2013-07-06T18:18:00.000+0000,,0051g000004BvFfAAK,2013-06-26T18:18:00.000+0000,0051g000004BvFfAAK,2013-07-06T18:18:00.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 319-6839,(555) 579-9693,ricky.sahli@example.com,,,,000924829860,000387994334,000142929618,000-55-4129
5001g000009TXofAAG,,00016269,0031g00000iE9YzAAK,0011g00000nAbvhAAC,,,,,,,Enrollment,Closed,Enrollment,Phone,Enrollment question,Medium,I have an enrollment question related to my account.,1,2016-12-10T00:17:41.000+0000,,0051g000004BvFfAAK,2016-12-06T00:17:41.000+0000,0051g000004BvFfAAK,2016-12-10T00:17:41.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 319-6839,(555) 579-9693,ricky.sahli@example.com,,,,000924829860,000387994334,000142929618,000-55-4129
5001g000009TXogAAG,,00016270,0031g00000iE9YzAAK,0011g00000nAbvhAAC,,,,,,,Enrollment,Closed,Enrollment,Phone,Enrollment dates,Low,I have an enrollment question related to my account.,1,2003-02-06T20:07:04.000+0000,,0051g000004BvFfAAK,2003-02-02T20:07:04.000+0000,0051g000004BvFfAAK,2003-02-06T20:07:04.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 319-6839,(555) 579-9693,ricky.sahli@example.com,,,,000924829860,000387994334,000142929618,000-55-4129
5001g000009TXohAAG,,00016271,0031g00000iE9YzAAK,0011g00000nAbvhAAC,,,,,,,Support,Closed,Support,Web,Setup problem,Medium,I have a service question and would like some assistance.,1,2020-03-08T17:10:29.000+0000,,0051g000004BvFfAAK,2020-02-13T17:10:29.000+0000,0051g000004BvFfAAK,2020-03-08T17:10:29.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 319-6839,(555) 579-9693,ricky.sahli@example.com,,,,000924829860,000387994334,000142929618,000-55-4129
5001g000009TXoiAAG,,00016272,0031g00000iE9Z0AAK,0011g00000nAbvhAAC,,,,,,,Cancellation,Closed,Cancellation,Email,Need to cancel my contract,High,I need to cancel our account.,1,2019-12-11T02:51:13.000+0000,,0051g000004BvFfAAK,2019-11-12T02:51:13.000+0000,0051g000004BvFfAAK,2019-12-11T02:51:13.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 238-8395,(555) 759-9507,eliz.carmon@example.com,,,,000623060975,000865183069,000399528596,000-85-4877
5001g000009TXojAAG,,00016273,0031g00000iE9Z0AAK,0011g00000nAbvhAAC,,,,,,,Other,Closed,Other,Phone,Transfer service,Medium,I need some general assistance related to our account.,1,2014-04-24T21:11:02.000+0000,,0051g000004BvFfAAK,2014-03-28T21:11:02.000+0000,0051g000004BvFfAAK,2014-04-24T21:11:02.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 238-8395,(555) 759-9507,eliz.carmon@example.com,,,,000623060975,000865183069,000399528596,000-85-4877
5001g000009TXokAAG,,00016274,0031g00000iE9Z1AAK,0011g00000nAbvhAAC,,,,,,,Enrollment,Closed,Enrollment,Phone,Need to enroll,Medium,I have an enrollment question related to my account.,1,2016-03-08T14:49:44.000+0000,,0051g000004BvFfAAK,2016-02-28T14:49:44.000+0000,0051g000004BvFfAAK,2016-03-08T14:49:44.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 408-9053,(555) 369-6788,diana.ebey@example.com,,,,000515468527,000867556134,000291653904,000-26-9872
5001g000009TXolAAG,,00016275,0031g00000iE9Z1AAK,0011g00000nAbvhAAC,,,,,,,Support,Closed,Support,Web,Question about warning message,Medium,I have a service question and would like some assistance.,1,2013-09-17T16:50:13.000+0000,,0051g000004BvFfAAK,2013-08-22T16:50:13.000+0000,0051g000004BvFfAAK,2013-09-17T16:50:13.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:47.000+0000,(555) 408-9053,(555) 369-6788,diana.ebey@example.com,,,,000515468527,000867556134,000291653904,000-26-9872
