Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Employee_ID__c,Member_ID__c,Passport_ID__c,SSN__c
0031g00000iE9JbAAK,,,0011g00000nAbsHAAS,Bobst,Kiyoko,,Kiyoko Bobst,"27 N. Main Street, A",Angels Camp,CA,952229332,US,,,,"{""city"":""Angels Camp"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""952229332"",""state"":""CA"",""street"":""27 N. Main Street, A""}","27 N. Main Street, A",Angels Camp,CA,952229332,US,,,,"{""city"":""Angels Camp"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""952229332"",""state"":""CA"",""street"":""27 N. Main Street, A""}",(555) 602-3223,,(555) 267-2098,(555) 690-2392,,,,kiyoko.bobst@example.com,,,,Phone Inquiry,1967-06-20,,0051g000004BvFfAAK,2018-05-26T00:36:46.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JbAAK,,,Pending,,000704845338,000736658001,000647292944,000-90-5154
0031g00000iE9JcAAK,,,0011g00000nAbsHAAS,Shanaa,Rosamaria,,Rosamaria Shanaa,"27 N. Main Street, A",Angels Camp,CA,952229332,US,,,,"{""city"":""Angels Camp"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""952229332"",""state"":""CA"",""street"":""27 N. Main Street, A""}","27 N. Main Street, A",Angels Camp,CA,952229332,US,,,,"{""city"":""Angels Camp"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""952229332"",""state"":""CA"",""street"":""27 N. Main Street, A""}",(555) 147-2520,,(555) 423-5398,(555) 514-7657,,,,rosamaria.shanaa@example.com,,,,Phone Inquiry,1949-08-15,,0051g000004BvFfAAK,2016-06-13T21:02:42.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JcAAK,,,Pending,,000939456561,000411748897,000750751084,000-26-3963
0031g00000iE9JdAAK,,,0011g00000nAbsHAAS,Kurian,Ardath,,Ardath Kurian,"27 N. Main Street, A",Angels Camp,CA,952229332,US,,,,"{""city"":""Angels Camp"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""952229332"",""state"":""CA"",""street"":""27 N. Main Street, A""}","27 N. Main Street, A",Angels Camp,CA,952229332,US,,,,"{""city"":""Angels Camp"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""952229332"",""state"":""CA"",""street"":""27 N. Main Street, A""}",(555) 614-5344,,(555) 559-6090,(555) 336-5708,,,,ardath.kurian@example.com,,,,Web,1949-04-19,,0051g000004BvFfAAK,2019-01-26T23:23:36.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JdAAK,,,Pending,,000314268614,000660799953,000133115365,000-19-2261
0031g00000iE9JeAAK,,,0011g00000nAbsHAAS,Baessler,Nidia,,Nidia Baessler,"27 N. Main Street, A",Angels Camp,CA,952229332,US,,,,"{""city"":""Angels Camp"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""952229332"",""state"":""CA"",""street"":""27 N. Main Street, A""}","27 N. Main Street, A",Angels Camp,CA,952229332,US,,,,"{""city"":""Angels Camp"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""952229332"",""state"":""CA"",""street"":""27 N. Main Street, A""}",(555) 825-3090,,(555) 617-3134,(555) 417-6068,,,,nidia.baessler@example.com,,,,Partner Referral,1988-07-08,,0051g000004BvFfAAK,2019-03-19T17:41:49.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JeAAK,,,Pending,,000434533731,000258656465,000781245437,000-16-8236
0031g00000iE9JfAAK,,,0011g00000nAbsIAAS,Stover,Adelaide,,Adelaide Stover,"Ground Floor, DLF Cyber Hub, Phase II",Gurgaon,HR,122002,IN,,,,"{""city"":""Gurgaon"",""country"":""IN"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""122002"",""state"":""HR"",""street"":""Ground Floor, DLF Cyber Hub, Phase II""}","Ground Floor, DLF Cyber Hub, Phase II",Gurgaon,HR,122002,IN,,,,"{""city"":""Gurgaon"",""country"":""IN"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""122002"",""state"":""HR"",""street"":""Ground Floor, DLF Cyber Hub, Phase II""}",(555) 738-1718,,(555) 927-2221,(555) 603-5118,,,,adelaide.stover@example.com,,,,Phone Inquiry,1952-04-03,,0051g000004BvFfAAK,2011-08-01T21:10:32.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JfAAK,,,Pending,,000209569946,000165458547,000358652146,000-80-7905
0031g00000iE9JgAAK,,,0011g00000nAbsIAAS,Marohl,Ivan,,Ivan Marohl,"Ground Floor, DLF Cyber Hub, Phase II",Gurgaon,HR,122002,IN,,,,"{""city"":""Gurgaon"",""country"":""IN"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""122002"",""state"":""HR"",""street"":""Ground Floor, DLF Cyber Hub, Phase II""}","Ground Floor, DLF Cyber Hub, Phase II",Gurgaon,HR,122002,IN,,,,"{""city"":""Gurgaon"",""country"":""IN"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""122002"",""state"":""HR"",""street"":""Ground Floor, DLF Cyber Hub, Phase II""}",(555) 257-3056,,(555) 285-9457,(555) 762-1251,,,,ivan.marohl@example.com,,,,Web,1971-03-06,,0051g000004BvFfAAK,2012-09-30T23:05:20.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JgAAK,,,Pending,,000860690326,000565354759,000895136106,000-52-5122
0031g00000iE9JhAAK,,,0011g00000nAbsIAAS,Murrie,Xiao,,Xiao Murrie,"Ground Floor, DLF Cyber Hub, Phase II",Gurgaon,HR,122002,IN,,,,"{""city"":""Gurgaon"",""country"":""IN"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""122002"",""state"":""HR"",""street"":""Ground Floor, DLF Cyber Hub, Phase II""}","Ground Floor, DLF Cyber Hub, Phase II",Gurgaon,HR,122002,IN,,,,"{""city"":""Gurgaon"",""country"":""IN"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""122002"",""state"":""HR"",""street"":""Ground Floor, DLF Cyber Hub, Phase II""}",(555) 191-7590,,(555) 534-3156,(555) 195-4555,,,,xiao.murrie@example.com,,,,Phone Inquiry,1986-05-22,,0051g000004BvFfAAK,2018-12-08T16:56:27.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JhAAK,,,Pending,,000906275360,000605992416,000812029888,000-64-7817
0031g00000iE9JiAAK,,,0011g00000nAbsJAAS,Landt,Evelyn,,Evelyn Landt,"11401 NW 12th St, Unit E-194, Miami International Mall",Miami,FL,331726904,US,,,,"{""city"":""Miami"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""331726904"",""state"":""FL"",""street"":""11401 NW 12th St, Unit E-194, Miami International Mall""}","11401 NW 12th St, Unit E-194, Miami International Mall",Miami,FL,331726904,US,,,,"{""city"":""Miami"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""331726904"",""state"":""FL"",""street"":""11401 NW 12th St, Unit E-194, Miami International Mall""}",(555) 318-7700,,(555) 428-3810,(555) 764-4746,,,,evelyn.landt@example.com,,,,Phone Inquiry,1943-08-13,,0051g000004BvFfAAK,2020-02-15T01:20:41.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JiAAK,,,Pending,,000781890806,000536869524,000720288286,000-65-7643
0031g00000iE9JjAAK,,,0011g00000nAbsJAAS,Krummel,Deloise,,Deloise Krummel,"11401 NW 12th St, Unit E-194, Miami International Mall",Miami,FL,331726904,US,,,,"{""city"":""Miami"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""331726904"",""state"":""FL"",""street"":""11401 NW 12th St, Unit E-194, Miami International Mall""}","11401 NW 12th St, Unit E-194, Miami International Mall",Miami,FL,331726904,US,,,,"{""city"":""Miami"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""331726904"",""state"":""FL"",""street"":""11401 NW 12th St, Unit E-194, Miami International Mall""}",(555) 474-2054,,(555) 975-2964,(555) 210-9838,,,,deloise.krummel@example.com,,,,Other,1943-06-10,,0051g000004BvFfAAK,2008-06-25T01:31:09.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JjAAK,,,Pending,,000302962234,000346133215,000922564576,000-53-4922
0031g00000iE9JkAAK,,,0011g00000nAbsJAAS,Chegwidden,Tom,,Tom Chegwidden,"11401 NW 12th St, Unit E-194, Miami International Mall",Miami,FL,331726904,US,,,,"{""city"":""Miami"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""331726904"",""state"":""FL"",""street"":""11401 NW 12th St, Unit E-194, Miami International Mall""}","11401 NW 12th St, Unit E-194, Miami International Mall",Miami,FL,331726904,US,,,,"{""city"":""Miami"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""331726904"",""state"":""FL"",""street"":""11401 NW 12th St, Unit E-194, Miami International Mall""}",(555) 322-4141,,(555) 880-3888,(555) 235-6705,,,,tom.chegwidden@example.com,,,,Phone Inquiry,2003-02-23,,0051g000004BvFfAAK,2007-10-18T18:54:23.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JkAAK,,,Pending,,000587224208,000672074582,000350191946,000-68-7032
0031g00000iE9JlAAK,,,0011g00000nAbsJAAS,Vegter,Jetta,,Jetta Vegter,"11401 NW 12th St, Unit E-194, Miami International Mall",Miami,FL,331726904,US,,,,"{""city"":""Miami"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""331726904"",""state"":""FL"",""street"":""11401 NW 12th St, Unit E-194, Miami International Mall""}","11401 NW 12th St, Unit E-194, Miami International Mall",Miami,FL,331726904,US,,,,"{""city"":""Miami"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""331726904"",""state"":""FL"",""street"":""11401 NW 12th St, Unit E-194, Miami International Mall""}",(555) 648-2436,,(555) 638-2664,(555) 816-4533,,,,jetta.vegter@example.com,,,,Partner Referral,2004-06-08,,0051g000004BvFfAAK,2019-09-20T15:40:45.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JlAAK,,,Pending,,000308019942,000413919935,000470493759,000-84-7287
0031g00000iE9JmAAK,,,0011g00000nAbsKAAS,Mcgauley,Juana,,Juana Mcgauley,17600 Yonge Street,Newmarket,ON,L3Y 4Z1,CA,,,,"{""city"":""Newmarket"",""country"":""CA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""L3Y 4Z1"",""state"":""ON"",""street"":""17600 Yonge Street""}",17600 Yonge Street,Newmarket,ON,L3Y 4Z1,CA,,,,"{""city"":""Newmarket"",""country"":""CA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""L3Y 4Z1"",""state"":""ON"",""street"":""17600 Yonge Street""}",(555) 864-2646,,(555) 254-9199,(555) 981-7363,,,,juana.mcgauley@example.com,,,,Web,1982-05-25,,0051g000004BvFfAAK,2019-02-13T17:15:04.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JmAAK,,,Pending,,000752313005,000524745249,000516820904,000-20-2088
0031g00000iE9JnAAK,,,0011g00000nAbsKAAS,Prybylski,Judith,,Judith Prybylski,17600 Yonge Street,Newmarket,ON,L3Y 4Z1,CA,,,,"{""city"":""Newmarket"",""country"":""CA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""L3Y 4Z1"",""state"":""ON"",""street"":""17600 Yonge Street""}",17600 Yonge Street,Newmarket,ON,L3Y 4Z1,CA,,,,"{""city"":""Newmarket"",""country"":""CA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""L3Y 4Z1"",""state"":""ON"",""street"":""17600 Yonge Street""}",(555) 960-9135,,(555) 791-4408,(555) 554-8093,,,,judith.prybylski@example.com,,,,Phone Inquiry,1956-12-15,,0051g000004BvFfAAK,2020-04-07T00:54:41.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JnAAK,,,Pending,,000404077727,000330613121,000571324211,000-96-7306
0031g00000iE9JoAAK,,,0011g00000nAbsKAAS,Skoglund,Rachal,,Rachal Skoglund,17600 Yonge Street,Newmarket,ON,L3Y 4Z1,CA,,,,"{""city"":""Newmarket"",""country"":""CA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""L3Y 4Z1"",""state"":""ON"",""street"":""17600 Yonge Street""}",17600 Yonge Street,Newmarket,ON,L3Y 4Z1,CA,,,,"{""city"":""Newmarket"",""country"":""CA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""L3Y 4Z1"",""state"":""ON"",""street"":""17600 Yonge Street""}",(555) 713-2839,,(555) 308-4327,(555) 522-5745,,,,rachal.skoglund@example.com,,,,Web,2007-03-19,,0051g000004BvFfAAK,2016-11-06T16:03:34.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JoAAK,,,Pending,,000975433614,000182110922,000603506884,000-29-9971
